timestampMs,poorSignal,eegRawValue,eegRawValueVolts,attention,meditation,blinkStrength,delta,theta,alphaLow,alphaHigh,betaLow,betaHigh,gammaLow,gammaMid,tagEvent,location
1486773016157,0,112,2.4609375E-5,84,61,53,838532,382084,206622,11461,6015,185951,1965,1201157,Tag0,unknown
1486773016172,0,-346,-7.6025390625E-5,84,61,53,838532,382084,206622,11461,6015,185951,1965,1201157,Tag0,unknown
1486773016182,0,-341,-7.492675781250002E-5,84,61,53,838532,382084,206622,11461,6015,185951,1965,1201157,Tag0,unknown
1486773016209,0,-140,-3.076171875E-5,84,61,53,838532,382084,206622,11461,6015,185951,1965,1201157,Tag0,unknown
1486773016220,0,-41,-9.008789062499999E-6,84,61,53,838532,382084,206622,11461,6015,185951,1965,1201157,Tag0,unknown
1486773016230,0,-217,-4.76806640625E-5,84,61,53,838532,382084,206622,11461,6015,185951,1965,1201157,Tag0,unknown
1486773016240,0,-299,-6.56982421875E-5,84,61,53,838532,382084,206622,11461,6015,185951,1965,1201157,Tag0,unknown
1486773016250,0,-238,-5.229492187500001E-5,84,61,53,838532,382084,206622,11461,6015,185951,1965,1201157,Tag0,unknown
1486773016288,0,-377,-8.28369140625E-5,84,61,53,838532,382084,206622,11461,6015,185951,1965,1201157,Tag0,unknown
1486773016298,0,52,1.142578125E-5,90,41,53,171137,157473,18230,3165,4309,16760534,1036,234971,Tag0,unknown
1486773016326,0,-74,-1.6259765625E-5,90,41,53,171137,157473,18230,3165,4309,16760534,1036,234971,Tag0,unknown
1486773016336,0,285,6.26220703125E-5,90,41,53,171137,157473,18230,3165,4309,16760534,1036,234971,Tag0,unknown
1486773016346,0,-360,-7.91015625E-5,90,41,53,171137,157473,18230,3165,4309,16760534,1036,234971,Tag0,unknown
1486773016363,0,-59,-1.29638671875E-5,90,41,53,171137,157473,18230,3165,4309,16760534,1036,234971,Tag0,unknown
1486773016373,0,82,1.8017578124999998E-5,90,41,53,171137,157473,18230,3165,4309,16760534,1036,234971,Tag0,unknown
1486773016404,0,75,1.64794921875E-5,90,41,53,171137,157473,18230,3165,4309,16760534,1036,234971,Tag0,unknown
1486773016414,0,50,1.0986328125E-5,90,41,53,171137,157473,18230,3165,4309,16760534,1036,234971,Tag0,unknown
1486773016425,0,24,5.2734375E-6,90,41,53,171137,157473,18230,3165,4309,16760534,1036,234971,Tag0,unknown
1486773016438,0,25,5.4931640625E-6,90,41,53,171137,157473,18230,3165,4309,16760534,1036,234971,Tag0,unknown
1486773016448,0,-112,-2.4609375E-5,90,41,53,171137,157473,18230,3165,4309,16760534,1036,234971,Tag0,unknown
1486773016479,0,-273,-5.998535156250001E-5,90,41,53,171137,157473,18230,3165,4309,16760534,1036,234971,Tag0,unknown
1486773016489,0,22,4.833984375E-6,90,41,53,171137,157473,18230,3165,4309,16760534,1036,234971,Tag0,unknown
1486773016512,0,-149,-3.27392578125E-5,90,41,53,171137,157473,18230,3165,4309,16760534,1036,234971,Tag0,unknown
1486773016554,0,-155,-3.40576171875E-5,90,41,53,171137,157473,18230,3165,4309,16760534,1036,234971,Tag0,unknown
1486773016564,0,-145,-3.18603515625E-5,90,41,53,171137,157473,18230,3165,4309,16760534,1036,234971,Tag0,unknown
1486773016592,0,-215,-4.72412109375E-5,90,41,53,171137,157473,18230,3165,4309,16760534,1036,234971,Tag0,unknown
1486773016602,0,-167,-3.6694335937500004E-5,90,41,53,171137,157473,18230,3165,4309,16760534,1036,234971,Tag0,unknown
1486773016633,0,-169,-3.7133789062499996E-5,90,41,53,171137,157473,18230,3165,4309,16760534,1036,234971,Tag0,unknown
1486773016643,0,-189,-4.15283203125E-5,90,41,53,171137,157473,18230,3165,4309,16760534,1036,234971,Tag0,unknown
1486773016672,0,-151,-3.31787109375E-5,90,41,53,171137,157473,18230,3165,4309,16760534,1036,234971,Tag0,unknown
1486773016682,0,-322,-7.0751953125E-5,90,41,53,171137,157473,18230,3165,4309,16760534,1036,234971,Tag0,unknown
1486773016711,0,-316,-6.943359375000001E-5,90,41,53,171137,157473,18230,3165,4309,16760534,1036,234971,Tag0,unknown
1486773016721,0,-342,-7.5146484375E-5,90,41,53,171137,157473,18230,3165,4309,16760534,1036,234971,Tag0,unknown
1486773016745,0,76,1.669921875E-5,90,41,53,171137,157473,18230,3165,4309,16760534,1036,234971,Tag0,unknown
1486773016775,0,7,1.5380859375E-6,90,41,53,171137,157473,18230,3165,4309,16760534,1036,234971,Tag0,unknown
1486773016785,0,-7,-1.5380859375E-6,90,41,53,171137,157473,18230,3165,4309,16760534,1036,234971,Tag0,unknown
1486773016812,0,-94,-2.0654296875000002E-5,90,41,53,171137,157473,18230,3165,4309,16760534,1036,234971,Tag0,unknown
1486773016848,0,-46,-1.0107421875E-5,90,41,53,171137,157473,18230,3165,4309,16760534,1036,234971,Tag0,unknown
1486773016875,0,260,5.712890625E-5,90,41,53,171137,157473,18230,3165,4309,16760534,1036,234971,Tag0,unknown
1486773016887,0,256,5.625E-5,90,41,53,171137,157473,18230,3165,4309,16760534,1036,234971,Tag0,unknown
1486773016912,0,340,7.470703125E-5,90,41,53,171137,157473,18230,3165,4309,16760534,1036,234971,Tag0,unknown
1486773016922,0,101,2.2192382812500002E-5,90,41,53,171137,157473,18230,3165,4309,16760534,1036,234971,Tag0,unknown
1486773016949,0,-14,-3.076171875E-6,90,41,53,171137,157473,18230,3165,4309,16760534,1036,234971,Tag0,unknown
1486773016959,0,-6,-1.318359375E-6,90,41,53,171137,157473,18230,3165,4309,16760534,1036,234971,Tag0,unknown
